"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"264",12,"Chris Bell",MIA,"WR94","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-36"
"265",12,"Seth McGowan",IND,"RB77","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+43"
"266",12,"Jack Bech",LV,"WR95","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-27"
"267",12,"Samaje Perine",CIN,"RB78","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-31"
"268",12,"DJ Giddens",IND,"RB79","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-28"
"269",12,"Christian Kirk",SF,"WR96","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-47"
"270",12,"Trey Benson",ARI,"RB80","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+48"
"271",12,"Kendre Miller",NO,"RB81","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"272",12,"Mason Taylor",NYJ,"TE34","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-3"
"273",12,"Marvin Mims Jr.",DEN,"WR97","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+18"
"274",12,"Tyquan Thornton",KC,"WR98","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-62"
"275",12,"Greg Dulcich",MIA,"TE35","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-99"
"276",12,"Malachi Fields",NYG,"WR99","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"277",12,"George Holani",SEA,"RB82","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-61"
"278",12,"Isaiah Davis",NYJ,"RB83","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+25"
"279",12,"Wil Lutz",DEN,"K16","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"280",12,"Atlanta Falcons",ATL,"DST17","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"281",12,"Michael Penix Jr.",ATL,"QB31","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-48"
"282",12,"Kyle Williams",NE,"WR100","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+4"
"283",12,"Chris Brazzell II",CAR,"WR101","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-64"
"284",12,"Darius Slayton",NYG,"WR102","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-38"
"285",12,"Will Reichard",MIN,"K17","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"286",12,"Mike Gesicki",CIN,"TE36","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-83"
"287",12,"Tua Tagovailoa",ATL,"QB32","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-80"
"288",12,"Devin Singletary",NYG,"RB84","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"289",12,"Xavier Legette",CAR,"WR103","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-15"
"290",12,"Keenan Allen",LAC,"WR104","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-48"
"291",12,"Kaelon Black",SF,"RB85","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-57"
"292",12,"Mack Hollins",NE,"WR105","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","0"
"293",13,"San Francisco 49ers",SF,"DST18","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"294",13,"Devaughn Vele",NO,"WR106","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-56"
"295",13,"Najee Harris",LAC,"RB86","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+3"
"296",13,"Hollywood Brown",PHI,"WR107","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-26"
"297",13,"Shedeur Sanders",CLE,"QB33","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-65"
"298",13,"Brashard Smith",KC,"RB87","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+82"
"299",13,"Emari Demercado",KC,"RB88","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-31"
"300",13,"Adam Randall",BAL,"RB89","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-34"
"301",13,"Oscar Delp",NO,"TE37","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-37"
"302",13,"Charlie Smyth",NO,"K18","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"303",13,"Jerome Ford",WAS,"RB90","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"304",13,"Deshaun Watson",CLE,"QB34","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-79"
"305",13,"Indianapolis Colts",IND,"DST19","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"306",13,"LeQuint Allen Jr.",JAC,"RB91","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-44"
"307",13,"Kirk Cousins",LV,"QB35","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-63"
"308",13,"Jake Tonges",SF,"TE38","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-65"
"309",13,"Isaiah Bond",CLE,"WR108","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-24"
"310",13,"Ja'Kobi Lane",BAL,"WR109","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-73"
"311",13,"Skyler Bell",BUF,"WR110","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-66"
"312",13,"Isaac Guerendo",SF,"RB92","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+43"
"313",13,"Trevor Etienne",CAR,"RB93","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+3"
"314",13,"Tahj Brooks",CIN,"RB94","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-34"
"315",13,"Andrei Iosivas",CIN,"WR111","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-80"
